Tree no.,Address,Total species,Year planted,Year lost,Longevity (years),Species,Cultivar,Nativity,Genus,Family,Total species,Common name,,Trk (0-4),Trk (0-4),Trk (0-4),Trk (0-4),Trk (0-4),Trk (0-4),Trk (0-4),Trk (0-4),Trk (0-3),Trk (0-4),Trk (0-4),Trk (0-4),Trk damage cause,,CD (%),CD (%),CD (%),CD (%),CD (%),CD (%),CD (%),CD (%),CD (%),CD (%),CD (%),,Chlor (0-3),Chlor (0-3),Chlor (0-3),Chlor (0-3),Chlor (0-3),Chlor (0-3),Chlor (0-3),Chlor (0-3),Chlor (0-3),,Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cause of loss,Comment,Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk height (in.),in./year,Date planted, Cause of loss
090000,,,,,,,,,,,,,,10/1/2013,5/1/2014,10/2/2015,9/23/2016,10/20/2017,7/9/2018,9/16/2019,9/22/2020,7/26/2021,9/7/2022,9/8/2023,9/19/2024,,,10/1/2013,5/1/2014,10/2/2015,9/23/2016,7/9/2018,9/16/2019,9/22/2020,7/26/2021,9/7/2022,9/8/2023,9/19/2024,,10/2/2015,9/23/2016,7/9/2018,9/16/2019,9/22/2020,7/26/2021,9/7/2022,9/8/2023,9/19/2024,,10/1/2013,5/1/2014,10/2/2015,9/23/2016,10/20/2017,7/9/2018,9/16/2019,9/22/2020,7/26/2021,9/7/2022,9/8/2023,9/19/2024,,,Davey,7/15/2012,9/18/2012,10/14/2013,10/2/2015,9/23/2016,10/20/2017,11/19/2018,9/16/2019,9/22/2020,9/28/2021,9/7/2022,9/8/2023,9/19/2024,9/22/2020,,,
090100,"Greenbush S side, 12 St",,,,,,,,,,,,,2013,2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,2013,2013,2015,2016,2018,2019,2020,2021,2022,2023,2024,,2015,2016,2018,2019,2020,2021,2022,2023,2024,,2013,2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,2011,2012,2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,
090101,1213,Acer glabrum,2012,,,Acer glabrum,,E,Acer,Aceraceae,Acer glabrum,Rocky Mtn maple,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,,,,1.70,1.70,1.61,2.28,2.87,3.54,4.11,4.70,5.07,5.75,6.21,6.86,7.44,,0.48,5/17/2012,
090102,1217,Tilia tomentosa,2012,,,Tilia tomentosa,,E,Tilia,Tiliaceae,Tilia tomentosa,Silver linden,,1,1,1,0,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,,1,2,2,2,2,1,1,1,1,1,1,1,,,,1.65,1.65,1.65,2.17,2.44,2.77,3.18,3.60,4.12,4.53,4.78,5.08,5.58,,0.32,5/17/2012,
090103,1221,Ulmus 'Frontier',2012,,,Ulmus 'Frontier',Frontier,E,Ulmus,Ulmaceae,Ulmus 'Frontier',Frontier Elm,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,,,,1.75,1.75,2.17,4.69,5.67,7.12,8.53,9.79,10.89,11.98,12.96,14.04,15.20,,1.12,5/17/2012,
090104,1227,Ginkgo biloba,2012,,,Ginkgo biloba,Princeton Sentry,E,Ginkgo,Ginkgoaceae,Ginkgo biloba,Ginkgo,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,,1,1,2,2,2,1,1,2,1,1,1,1,,,,1.55,1.50,1.61,1.69,1.93,2.08,2.21,2.44,2.64,2.87,3.07,3.41,3.60,,0.17,5/17/2012,
090200,13th Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090201,1303,Zelkova serrata,2012,,,Zelkova serrata,Green Vase,E,Zelkova,Ulmaceae,Zelkova serrata,Zelkova,,0,0,0,0,0,0,,3,3,2,2,2,E,,0,2,0,0,0,0,20,0,0,0,10,,0,1,0,0,0,,0,0,0,,1,1,1,2,2,1,2,3,3,2,2,2,,,,1.65,1.75,1.85,2.56,3.43,3.37,3.71,4.08,4.49,4.62,5.02,5.30,5.51,50,0.32,5/17/2012,
090202,,Acer saccharum,X,,,,,,,,Acer saccharum,Sugar maple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X (I),
090203,1307,Tilia americana,X,,,,,,,,Tilia americana,American basswood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
090204,1315,Tilia americana,X,,,,,,,,Tilia americana,American basswood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
090205,1317,Zelkova serrata,2020,2021,1,, 'Green Vase’,,,,Zelkova serrata,Zelkova,,,,,,,,,0,0,,,,,,,,,,,,70,100,,,,,,,,,0,,,,,,,,,,,,,4,5,6,6,6,Died,,,,,,,,,,2.22,2.26,2.25,,,,46,,10/15/19,Died
090205.1,1317,Zelkova serrata,2022,,,Zelkova serrata,,E,Zelkova,Ulmaceae,Zelkova serrata,Zelkova,,,,,,,,,,,0,0,2,,,,,,,,,,,0,0,10,,,,,,,,0,0,0,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,1.44,1.77,1.92,35,0.24,,
090206,1325,Gleditsia triacanthos var. inermis,2012,,,Gleditsia triacanthos var. inermis,Shademaster,N,Gleditsia,Fabaceae,Gleditsia triacanthos var. inermis,Honey locust,,1,1,0,0,0,0,1,0,0,0,0,0,,,0,5,10,0,0,0,0,0,0,0,20,,0,0,0,0,0,0,0,0,0,,1,2,1,1,2,1,2,2,1,1,1,2,,,,2.00,2.00,2.01,2.60,3.31,4.04,4.75,5.42,6.15,6.90,7.48,8.06,8.77,,0.57,5/17/2012,
090207,1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090300,14th Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090301,1401,,X,,,,,,,,,Sugar maple,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
090302,1401,,X,,,,,,,,,Sugar maple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
090303,1407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090304,1407,Tilia cordata,2012,,,Tilia cordata,,E,Tilia,Tiliaceae,Tilia cordata,Littleleaf linden,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,1,1,1,2,1,2,2,1,1,1,1,,,,2.10,2.10,2.09,2.44,2.83,3.26,3.58,3.93,4.28,4.53,4.75,4.94,5.30,,0.27,5/17/2012,
090305,,,X (I),,,,,,,,,Silver maple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X (I),
090306,1413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090307,1415,Tilia tomentosa,2012,2023,11,,,,,,Tilia tomentosa,Silver linden,,0,0,1,0,0,0,0,0,0,4,,,,,0,0,5,0,0,0,0,0,10,,,,0,0,0,0,0,0,0,,,,1,1,2,1,1,1,1,2,1,4,6,6,Human,Bark stripped off lower 4 ft (22),,1.75,1.75,1.85,2.24,2.64,3.29,3.85,4.32,4.77,5.06,4.99,,,,,5/17/2012,
090308,1417,Ulmus 'Frontier',2012,,,Ulmus 'Frontier',Frontier,E,Ulmus,Ulmaceae,Ulmus 'Frontier',Frontier Elm,,1,0,0,0,0,0,0,0,0,0,1,0,M,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,1,1,2,2,1,2,2,1,1,1,1,,,,1.90,1.75,1.97,3.07,3.66,4.45,5.05,5.86,6.33,6.84,7.45,8.10,8.90,,0.57,5/17/2012,
090309,,Acer saccharum,X (I),,,,,,,,,Sugar maple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X (I),
090400,15th Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090401,Park,Tilia americana,X,,,,,,,,,Linden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
090402,Park,Tilia americana,X,,,,,,,,,Linden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
090403,Park,Gymnocladus dioicus,2012,,,Gymnocladus dioicus,,N,Gymnocladus,Fabaceae,Gymnocladus dioicus,Kentucky coffee tree,,0,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,2,2,1,1,1,1,,,,1.70,1.50,1.61,2.05,2.68,3.34,3.93,4.80,5.43,6.06,6.49,6.91,7.43,,0.50,5/17/2012,
090404,Park,Quercus imbricaria,2012,,,Quercus imbricaria,,N,Quercus,Fagaceae,Quercus imbricaria,Shingle oak,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,5,5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,2,1,1,2,1,2,2,1,1,1,1,,,,2.20,2.20,2.24,2.64,2.87,3.22,3.6,3.98,4.40,4.87,5.33,5.91,6.46,,0.34,5/17/2012,
090405,Alley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090406,1430 N 16th,Liriodendron tulipifera,2012,,,Liriodendron tulipifera,,N,Liriodendron,Magnoliaceae,Liriodendron tulipifera,Tulip tree,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,5,,0,1,0,0,0,0,0,0,0,,1,1,1,2,1,1,1,1,1,1,1,1,,,,1.50,1.50,1.57,2.28,2.44,2.97,3.51,4.20,4.85,5.60,6.05,6.72,7.43,,0.48,5/17/2012,
090407,1430 N 16th,Quercus shumardii,2012,2013,1,,,,,,Quercus shumardii,Shumard oak,,0,0,,,,,,,,,,,,,0,100,,,,,,,,,,,,,,,,,,,,,3,5,6,6,6,6,6,6,6,6,6,6,Died,,,,,,,,,,,,,,,,,,5/7/2012,
090407.1,1430 N 16th,Quercus shumardii,2015,,,Quercus shumardii,,N,Quercus,Fagaceae,Quercus shumardii,Shumard oak,,,,0,0,0,0,1,0,0,0,0,0,,,,,5,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,,,,1,1,1,1,2,2,1,1,1,1,,,,,,,1.22,1.38,1.59,1.84,2.12,2.30,2.40,2.56,2.82,3.12,,0.21,12/1/2014,
090408,1430 N 16th,Quercus rubra,2012,2013,1,,,,,,Quercus rubra,Northern red oak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,6,6,6,6,6,6,6,6,6,6,Died,,,,,,,,,,,,,,,,,,5/7/2012,
090408.1,1430 N 16th,Quercus rubra,2015,,,Quercus rubra,,N,Quercus,Fagaceae,Quercus rubra,Northern red oak,,,,0,0,0,2,1,1,2,1,1,0,M,,,,0,0,0,0,0,0,0,0,20,,0,0,0,0,2,0,0,0,0,,,,1,1,2,2,2,2,2,1,2,2,,,,,,,1.06,1.10,1.31,1.57,1.89,2.16,2.60,2.99,3.32,3.67,,0.31,12/1/2014,
090409,1430 N 16th,Platanus x acerifolia,2012,,,Platanus x acerifolia,Encore,E,Platanus,Platanaceae,Platanus x acerifolia,London planetree,,,,,,,2,0,0,0,0,1,0,,,,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,,,3,2,2,1,1,2,2,,,,,,,,,0.69,1.43,1.68,2.06,2.76,3.37,4.13,4.85,53,0.58,coppice,
090500,16th Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090501,1429 N 16th,Gymnocladus dioicus,2012,,,Gymnocladus dioicus,,N,Gymnocladus,Fabaceae,Gymnocladus dioicus,Kentucky coffee tree,,0,0,0,0,0,0,0,0,0,0,1,0,M,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,,,,1.75,1.75,1.97,2.64,3.74,4.70,5.85,6.91,7.79,8.75,9.26,9.76,10.35,,0.75,5/17/2012,
090502,1429 N 16th,Quercus imbricaria,2012,,,Quercus imbricaria,,N,Quercus,Fagaceae,Quercus imbricaria,Shingle oak,,0,0,1,0,1,2,1,1,1,0,0,0,,,0,5,5,2,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,,1,1,2,1,2,2,2,3,2,1,1,1,,,,2.80,2.95,3.03,3.23,3.54,3.63,4.03,4.46,5.00,5.57,6.10,6.59,7.00,,0.33,5/17/2012,
090503,1430 N 17th,Platanus x acerifolia,2012,,,Platanus x acerifolia,Encore,E,Platanus,Platanaceae,Platanus x acerifolia,London planetree,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,15,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,2,1,1,1,1,1,1,2,1,1,1,,top gone,,1.55,1.60,1.85,3.62,4.33,5.11,6.12,7.04,7.59,8.21,8.78,9.40,10.00,,0.71,5/17/2012,
090600,17th Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090601,1703,Quercus shumardii,2012,,,Quercus shumardii,,N,Quercus,Fagaceae,Quercus shumardii,Shumard oak,,0,0,0,0,0,0,1,1,1,0,0,1,,,0,2,0,5,20,10,0,0,0,0,0,,1,2,3,1,0,1,0,0,0,,1,2,2,2,2,4,3,2,2,1,1,1,,2020: some decay,,1.30,1.30,1.34,1.73,1.77,1.82,1.91,2.16,2.37,2.83,3.26,3.90,4.61,,0.23,5/17/2012,
090602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090603,1705,Tilia americana,X,,,,,,,,,Linden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
090604,1713,Liriodendron tulipifera,2012,2023,11,,,,,8.00,Liriodendron tulipifera,Tulip tree,,0,0,0,0,0,0,0,1,0,0,,,,,0,40,50,80,0,0,0,0,0,,,,1,1,0,0,0,0,0,,,,1,3,3,4,3,2,3,3,2,1,6,6,Died,,,1.50,1.50,1.50,1.57,1.61,1.72,1.91,2.20,2.39,2.73,2.93,,,,,5/17/2012,
090605,1713,Quercus rubra,2012,,,Quercus rubra,,N,Quercus,Fagaceae,Quercus rubra,Northern red oak,,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,10,0,,0,0,0,0,0,0,0,0,0,,1,1,1,2,2,2,2,2,2,1,2,2,,,,1.75,1.75,1.77,2.40,3.11,3.68,4.35,4.95,5.38,5.80,6.26,6.54,6.89,,0.45,5/17/2012,
090606,1717,Platanus x acerifolia,2012,,,Platanus x acerifolia,Encore,E,Platanus,Platanaceae,Platanus x acerifolia,London planetree,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,7,0,0,0,0,0,0,0,0,10,,0,0,0,0,0,0,0,0,0,,1,2,1,1,1,1,1,1,1,1,1,1,,,,1.50,1.55,2.20,4.49,5.55,6.48,7.63,8.55,9.29,9.93,10.79,11.65,12.25,,0.89,5/17/2012,
090607,1719,Gymnocladus dioicus,2012,,,Gymnocladus dioicus,,N,Gymnocladus,Fabaceae,Gymnocladus dioicus,Kentucky coffee tree,,0,0,0,0,0,0,0,0,3,0,0,0,,,0,0,0,2,0,5,0,0,10,0,20,,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,2,2,3,2,1,1,,decay at base of trunk,,1.75,1.75,1.77,2.99,3.90,4.75,5.5,6.00,6.49,6.79,7.16,7.60,8.29,,0.55,5/17/2012,
090608,1723,Quercus shumardii,2012,,,Quercus shumardii,,N,Quercus,Fagaceae,Quercus shumardii,Shumard oak,,3,3,2,2,2,0,1,0,1,1,0,0,,,0,2,20,5,0,10,50,4,90,90,90,,1,2,2,2,0,3,0,0,0,,3,1,3,3,3,3,3,4,4,4,4,4,,,,1.50,1.40,1.61,1.77,2.20,2.43,2.68,2.83,2.80,2.93,2.96,3.00,3.00,,0.14,5/17/2012,
090609,1727,Platanus x acerifolia,2012,,,Platanus x acerifolia,Encore,E,Platanus,Platanaceae,Platanus x acerifolia,London planetree,,,,,,,,0,0,0,0,0,0,,,,,,,,5,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,,2,2,1,1,1,1,,,,,,,,,,,1.57,1.91,2.85,3.80,5.07,6.03,,0.94,?,
090610,1729,Quercus imbricaria,2012,,,Quercus imbricaria,,N,Quercus,Fagaceae,Quercus imbricaria,Shingle oak,,0,0,0,0,0,0,0,0,0,4,5,4,M,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,3,3,3,,,,2.30,2.30,2.56,3.58,4.09,4.73,5.55,6.19,6.72,7.54,8.40,9.18,10.31,,0.63,5/17/2012,
090700,18th Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090701,1815,Fraxinus,X,,,,,,,,,White ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
090702,1815,Ginkgo biloba,2012,,,Ginkgo biloba,Princeton Sentry,E,Ginkgo,Ginkgoaceae,Ginkgo biloba,Ginkgo,,0,0,0,0,0,1,1,1,1,1,0,0,,,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,2,2,1,1,1,1,,,,1.75,1.70,1.73,2.36,2.76,3.62,4.37,5.08,5.55,6.17,6.57,9.01,7.64,,0.55,5/17/2012,
090703,1819,Zelkova serrata,2012,,,Zelkova serrata,Green Vase,E,Zelkova,Ulmaceae,Zelkova serrata,Zelkova,,0,0,0,3,3,2,0,0,0,0,0,0,,,0,0,0,50,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,,1,1,1,4,3,2,1,1,2,1,1,1,,many narrow crotches,,1.75,1.75,2.05,3.70,4.13,5.03,5.82,6.54,7.26,8.03,9.70,9.50,10.48,45,0.72,5/17/2012,
090704,1825,Tilia cordata,2012,,,Tilia cordata,,E,Tilia,Tiliaceae,Tilia cordata,Littleleaf linden,,0,0,0,0,0,0,0,1,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,2,2,2,1,1,1,,,,1.95,1.95,1.97,2.95,3.50,4.09,4.56,5.12,5.66,6.29,6.92,7.60,8.46,,0.52,5/17/2012,
090705,1825,Gleditsia triacanthos var. inermis,2012,,,Gleditsia triacanthos var. inermis,,N,Gleditsia,Fabaceae,Gleditsia triacanthos var. inermis,Honey locust,,0,0,0,0,0,0,1,0,0,0,0,0,,,0,0,5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,2,1,1,1,2,1,1,,,,1.80,1.80,1.93,2.80,3.54,4.53,5.49,6.07,6.80,7.73,8.32,9.33,10.33,,0.69,5/17/2012,
090706,1829,Acer truncatum x platanoides,2012,,,Acer truncatum x platanoides,Keithsform,E,Acer,Aceraceae,Acer truncatum x platanoides,Norwegian Sunset maple,,0,0,1,2,1,0,0,0,0,1,1,2,M,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,1,1,3,2,1,1,2,1,1,1,2,,,,1.70,1.65,1.65,2.20,2.68,3.22,3.53,3.83,4.30,4.84,5.12,5.60,6.10,49,0.36,5/17/2012,
090707,1835,Tilia tomentosa,2012,,,Tilia tomentosa,,E,Tilia,Tiliaceae,Tilia tomentosa,Silver linden,,0,0,1,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,1,2,2,1,2,1,1,1,2,1,1,,,,1.80,1.80,1.85,3.46,4.17,5.06,5.97,6.83,7.76,8.56,9.24,10.04,10.84,50,0.75,5/17/2012,
090800,19th Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090801,1901,Ulmus 'Frontier',2012,,,Ulmus 'Frontier',Frontier,E,Ulmus,Ulmaceae,Ulmus 'Frontier',Frontier Elm,,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,,,,1.75,1.80,2.40,4.69,5.98,7.42,8.87,10.35,11.47,12.46,13.40,14.45,15.67,,1.16,5/17/2012,
090802,1903,Tilia cordata,2012,,,Tilia cordata,,E,Tilia,Tiliaceae,Tilia cordata,Littleleaf linden,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,1,2,2,1,1,1,1,1,1,1,1,,,,,,1.14,2.20,2.95,3.90,4.7,5.48,6.39,6.59,7.12,7.64,8.21,,0.67,11/5/2012,
090803,1909,Celtis occidentalis,X,,,,,,,,,Hackberry ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
090804,1909,Celtis occidentalis,X,,,,,,,,,Hackberry ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
090805,Vacant lot,Carpinus betulus,X,,,,,,,,,Eastern hop hornbeam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
090806,1919,Ginkgo biloba,2012,,,Ginkgo biloba,Princeton Sentry,E,Ginkgo,Ginkgoaceae,Ginkgo biloba,Ginkgo,,0,0,0,0,1,0,1,1,0,2,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,1,1,1,2,1,2,2,1,2,1,1,,,,1.60,1.60,1.69,2.87,3.43,4.10,4.96,5.83,6.69,7.52,8.26,9.18,10.14,,0.69,5/17/2012,
